Month,calories burned,Number of Steps,distance,floors,minutes sedentary,minutes lightly active,minutes fairly active,minutes very active,activity calories,Minutes Asleep,minutes awake,number of awakenings,time in bed
16-May,58327,320668,135,0,28952,4290,627,1458,24309,8873,411,35,9292
16-Jun,57956,327143,136,0,26053,4659,944,1257,25511,9779,449,39,10276
16-Jul,59701,349923,144,0,23712,5109,1072,1290,26957,12827,565,41,13444
16-Aug,57634,317452,131,0,24435,4159,1072,1210,23988,13318,475,36,13809
16-Sep,56500,322395,133,0,23162,4010,815,1439,23982,13155,554,48,13773
16-Oct,57057,311744,128,0,25956,4155,799,1287,23280,11944,446,34,12441
16-Nov,51603,229936,95,0,28530,3599,439,850,17640,9428,341,23,9782
16-Dec,54241,241561,100,0,25754,4580,611,699,19998,12457,505,34,12996
17-Jan,55352,265895,109.85,0,28127,4514,599,927,21438,10215,255,19,10473
