Date,Steps,Minutes Asleep
1/2/17,"9,243",643
1/3/17,"9,567",507
1/4/17,"16,140",483
1/5/17,"1,044",480
1/7/17,"5,029",478
1/8/17,"7,576",433
1/9/17,"9,002",456
1/10/17,"9,921",524
1/11/17,"9,303",504
1/14/17,"10,783",473
1/15/17,"8,262",304
1/16/17,"6,604",435
1/17/17,"7,689",433
1/18/17,"10,466",473
1/19/17,"10,854",411
1/20/17,"8,839",456
1/21/17,"7,121",409
1/25/17,"12,765",464
1/27/17,"9,320",448
1/28/17,"10,805",483
1/29/17,"9,007",497
1/30/17,"12,259",421
